Question,Option_A,Option_B,Option_C,Option_D
If S_1| S_2| S_3|...........S_m are the sums of n terms of m A.P.'s whose first terms are 1| 2| 3| ...............|m and common differences are 1| 3| 5| ...........2m-1 respectively| then S_1+S_2+S_3+.......S_m =,1/2mn(mn+1),mn(m+1),1/4mn(mn-1),None of the above
If a_1| a_2||a_3|......a_24 are in arithmetic progression and a_1+a_5+a_10+a_15+a_20+a_24 = 225| then a_1+a_2+a_3+........+a_23+a_24 =  MP PET 1999; AMU 1997,909,75,750,900
If the roots of the equation x^3-12x^2+39x-28 = 0 are in A.P.| then their common difference will be UPSEAT 1994| 99| 2001; RPET 2001,pm 1,pm 2,pm 3,pm 4
If the first term of a G.P. a_1| a_2| a_3|..........is unity such that 4a_2+5a_3 is least| then the common ratio of G.P. is,-2/5,-3/5,2/5,None of these
If the sum of the nterms of G.P. is S product is P and sum of their inverse is R| than P^2 is equal to  IIT 1966; Roorkee 1981,R/S,S/R,left( R/S right)^n,left( S/R right)^n
Let n(>1) be a positive integer| then the largest integer m such that (n^m+1) divides (1+n+n^2+.......+n^127)| is IIT 1995,32,63,64,127
A G.P. consists of an even number of terms. If the sum of all the terms is 5 times the sum of the terms occupying odd places| then the common ratio will be equal to,2,3,4,5
If f(x) is a function satisfying f(x+y) = f(x)f(y) for all x| yin N such that f(1) = 3 and sumlimits_x = 1^n/f(x) = 120. Then the value of n is IIT 1992,4,5,6,None of these
If n geometric means between a and bbe G_1| G_2| .....G_n  and a geometric mean be G| then the true relation is,G_1.G_2........G_n = G,G_1.G_2........G_n = G^1/n,G_1.G_2........G_n = G^n,G_1.G_2........G_n = G^2/n
alpha | beta  are the roots of the equation x^2-3x+a = 0 and gamma | delta  are the roots of the equation x^2-12x+b = 0. If alpha | beta | gamma | delta  form an increasing G.P.| then (a| b) =   DCE 2000,(3| 12),(12| 3),(2| 32),(4| 16)
2.oversetbullet ||bullet ||bullet /mathop357| =  IIT 1983; RPET 1995,2355/1001,2370/997,2355/999,None of these
If 1+cos alpha +cos ^2alpha +.......|infty  = 2-sqrt2| then alpha | (0<alpha <pi ) is    Roorkee 2000; AMU 2005,pi /8,pi /6,pi /4,3pi /4
The first term of an infinite geometric progression is x and its sum is 5. Then IIT Screening 2004,0le xle 10,0<x<10,-10<x<0,x>10
If a| b| c are in H.P.| then the value of left( 1/b+1/c-1/a right)|left( 1/c+1/a-1/b right)| is  MP PET 1998; Pb. CET 2000,2/bc+1/b^2,3/c^2+2/ca,3/b^2-2/ab,None of these
If m is a root of the given equation (1-ab)x^2- (a^2+b^2)x - (1+ab) = 0 and m harmonic means are inserted between a and b| then the difference between the last and the first of the means equals,b-a,ab(b-a),a(b-a),ab(a-b)
A boy goes to school from his home at a speed of x km/hour and comes back at a speed of y km/hour| then the average speed is given by  DCE 2002,A.M.,G.M.,H.M.,None of these
If  a| b| c| d be in H.P.| then,a^2+c^2>b^2+d^2,a^2+d^2>b^2+c^2,ac+bd>b^2+c^2,ac+bd>b^2+d^2
If a| b| c are the positive integers| then (a+b)(b+c)(c+a)is DCE 2000,<8abc,>8abc,#ERROR!,None of these
In a G.P. the sum of three numbers is 14| if 1 is added to first two numbers and subtracted from third number| the series becomes A.P.| then the greatest number is  Roorkee 1973,8,4,24,16
If a| b| c are in G.P. and log a-log 2b| log 2b-log 3cand log 3c-log a are in A.P.| then a| b| c are the length of the sides of a triangle which is,Acute angled,Obtuse angled,Right angled,Equilateral
If A_1| A_2;G_1| G_2 and H_1| H_2 be AM's| GM's and HM's between two quantities| then the value of G_1/G_2/H_1/H_2 is    Roorkee 1983; AMU 2000,A_1+A_2/H_1+H_2,A_1-A_2/H_1+H_2,A_1+A_2/H_1-H_2,A_1-A_2/H_1-H_2
The harmonic mean of two numbers is 4 and the arithmetic and geometric means satisfy the relation 2A+G^2 = 27| the numbers are                   MNR 1987; UPSEAT 1999| 2000,6||3,5| 4,5| -2.5,-3| 1
If the A.M. of two numbers is greater than G.M. of the numbers by 2 and the ratio of the numbers is 4:1| then the numbers are RPET 1988,4| 1,12| 3,16| 4,None of these
If the A.M. and G.M. of roots of a quadratic equations are 8 and 5 respectively| then the quadratic equation will be Pb. CET 1990,x^2-16x-25 = 0,x^2-8x+5 = 0,x^2-16x+25 = 0,x^2+16x-25 = 0
The A.M.| H.M. and G.M. between two numbers are 144/15| 15 and 12| but not necessarily in this order. Then H.M.| G.M. and A.M. respectively are,15| 12| 144/15,144/15| 12| 15,12| 15| 144/15,144/15| 15| 12
If a be the arithmetic mean of b and c and G_1| G_2 be the two geometric means between them| then G_1^3+G_2^3 =,G_1/G_2a,2G_1/G_2a,3G_1/G_2a,None of these
Three numbers form a G.P. If the 3^rd term is decreased by 64| then the three numbers thus obtained will constitute an A.P. If the second term of this A.P. is decreased by 8| a G.P. will be formed again| then the numbers will be,4| 20| 36,4| 12| 36,4| 20| 100,None of the above
If x>1| y>1|z>1 are in G.P.| then 1/1+textIn|x| 1/1+textIn|y|  1/1+textIn|z  are in       IIT 1998; UPSEAT 2001,A.P.,H.P.,G.P.,None of these
a||g||h are arithmetic mean| geometric mean and harmonic mean between two positive numbers x and y respectively. Then identify the correct statement among the following Karnataka CET 2001,h is the harmonic mean between a and g,No such relation exists between a| g and h,g is the geometric mean between a and h,A is the arithmetic mean between g and h
2^sin theta +2^cos theta  is greater than AMU 2000,1/2,sqrt2,2^1/sqrt2,2^left( 1-|1/sqrt2 right)
If a||b||c||d are positive real numbers such that a+b+c+d  = 2| then M = (a+b)(c+d) satisfies the relation IIT Screening 2000,0<Mle 1,1le Mle 2,2le Mle 3,3le Mle 4
Suppose a||b||c are in A.P. and a^2|b^2|c^2 are in G.P. If       a < b < c  and a+b+c = 3/2| then the value of a is IIT Screening 2002,1/2sqrt2,1/2sqrt3,1/2-1/sqrt3,1/2-1/sqrt2
n^th term of the series1+4/5+7/5^2+10/5^3+........will be,3n+1/5^n-1,3n-1/5^n,3n-2/5^n-1,3n+2/5^n-1
The sum of the series 1/1+1^2+1^4+2/1+2^2+2^4+3/1+3^2+3^4+......... to n terms is,n(n^2+1)/n^2+n+1,n(n+1)/2(n^2+n+1),n(n^2-1)/2(n^2+n+1),None of these
For any odd integer nge 1|n^3-(n-1)^3+...........+(-1)^n-1/1^3 =  IIT 1996,1/2/(n-1)^2(2n-1),1/4/(n-1)^2(2n-1),1/2/(n+1)^2(2n-1),1/4/(n+1)^2(2n-1)
The sum of n terms of the series 1/1+sqrt3+1/sqrt3+sqrt5+1/sqrt5+sqrt7+......... is   UPSEAT 2002,sqrt2n+1,1/2sqrt2n+1,sqrt2n+1-1,1/2(sqrt2n+1-1)
n^th term of the series1^3/1+1^3+2^3/1+3+1^3+2^3+3^3/1+3+5+...... will be Pb. CET 2000,n^2+2n+1,n^2+2n+1/8,n^2+2n+1/4,n^2-2n+1/4
The sum of the series 1/sqrt1+sqrt2+1/sqrt2+sqrt3+1/sqrt3+sqrt4+...+1/sqrtn^2-1+sqrtn^2equals                                          AMU 2002,(2n+1)/sqrtn,sqrtn+1/sqrtn+sqrtn-1,(n+sqrtn^2-1)/2sqrtn,n-1
The value of (sqrt2+1)^6+(sqrt2-1)^6 will be RPET 1997,-198,198,99,-99
If (1+ax)^n = 1+8x+24x^2+....|then the value of a and n is IIT 1983; Pb. CET 1994| 99,2| 4,2| 3,3| 6,1| 2
The coefficient of x^5 in the expansion of (1+x^2)^5/(1+x)^4 is            EAMCET 1996; UPSEAT 2001; Pb. CET 2002,30,60,40,None of these
If (1-3x)^1/2+(1-x)^5/3/sqrt4-xis approximately equal to a+bxfor small values of x|  then (a|b) =,left( 1|35/24 right),left( 1|-35/24 right),left( 2|35/12 right),left( 2|-35/12 right)
The value of x in the expression x+x^log _10^(x)^5| if the third term in the expansion is 10|00|000 Roorkee 1992,10,11,12,None of these
If the coefficient of the middle term in the expansion of (1+x)^2n+2is p and the coefficients of middle terms in the expansion of (1+x)^2n+1 are q and r| then,p+q = r,p+r = q,p = q+r,p+q+r = 0
In the polynomial (x-1)(x-2)(x-3).............(x-100)|the coefficient of x^99 is AMU 2002,5050,-5050,100,99
The coefficient of x^100 in the expansion of  sumlimits_j = 0^200/(1+x)^j is  UPSEAT 2004,left( beginalign & 200 & 100 endalign right),left( beginalign & 201 & 102 endalign right),left( beginalign & 200 & 101 endalign right),left( beginalign & 201 & 100 endalign right)
If the coefficient of x^7 in left( ax^2+1/bx right)^11 is equal to the coefficient of x^-7in left( ax-1/bx^2 right)^11| then ab  =  MP PET 1999; AMU 2001; Pb. CET 2002; AIEEE 2005,1,1/2,2,3
If the coefficient of x in the expansion of left( x^2+k/x right)^5 is 270| then k  =  EAMCET 2002,1,2,3,4
The coefficients of three successive terms in the expansion of (1+x)^n are 165| 330 and 462 respectively| then the value of n will be UPSEAT 1999,11,10,12,8
If the coefficient of (2r+4)^th and (r-2)^thterms in the expansion of (1+x)^18are equal| then r =  MP PET 1997; Pb. CET 2001,12,10,8,6
The middle term in the expansion of (1+x)^2n is  Pb. CET 1998,1.3.5....(5n-1)/n!/x^n,2.4.6....2n/n!/x^2n+1,1.3.5....(2n-1)/n!/x^n,1.3.5....(2n-1)/n!/2^n/x^n
